,acy,sem,cos_id,cos_code,num_limit,dep_limit,URL,cos_cname,cos_credit,cos_hours,TURL,teacher,cos_time,memo,cos_ename,brief,degree,dep_id,dep_primary,dep_cname,dep_ename,cos_type,cos_type_e,crsoutline_type,reg_num,depType
1131_910340,113,1,910340,SESE20005,9999,N,,內燃機,3.00,3.00,,周志正,T34R2-,動力組車輛班，上課地點：國防大學理工學院,Internal Combustion Engines,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,7,T
1131_910350,113,1,910350,SESE10205,9999,N,,系統工程管理概論,3.00,3.00,,鄧世剛,T234-,動力組兵器班，上課地點：國防大學理工學院,Systems Engineering Management,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,12,T
1131_910353,113,1,910353,SESE20215,9999,N,,船舶結構學,3.00,3.00,,王樂民,T234-,動力組造船班，上課地點：國防大學理工學院,Ship Structural,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,6,T
1131_910367,113,1,910367,SESE10153,9999,N,,離散數學,3.00,3.00,,王順吉,M34T4-,資工組網攻班，上課地點：國防大學理工學院,Discrete Mathematics,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,12,T
1131_910368,113,1,910368,SESE10153,9999,N,,離散數學,3.00,3.00,,王順吉,M67T3-,資工組系統班，上課地點：國防大學理工學院,Discrete Mathematics,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,12,T
1131_910374,113,1,910374,SESE20002,9999,N,,作業系統概論,3.00,3.00,,張凱威,T4W12-,資工組，上課地點：國防大學理工學院,Introduction to Op;erating Systems,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,19,T
1131_910377,113,1,910377,SESE20232,9999,N,,軟體工程,3.00,3.00,,余琬瑜,T3R12-,資工組，上課地點：國防大學理工學院,Software Engineering,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,11,T
1131_910386,113,1,910386,SESE00069,9999,N,,資訊戰概論,3.00,3.00,,系統工程,T123-,資工組，上課地點：國防大學理工學院，授課教師：陸儀斌老師,Introduction to Information Warfare,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,31,T
1131_910413,113,1,910413,SESE10094,9999,N,,熱力學(1),3.00,3.00,https://mae.ccit.ndu.edu.tw/,夏筱明,T4F12-,機航組航空班，上課地點：國防大學理工學院,Thermodynamics(1),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,13,T
1131_910414,113,1,910414,SESE10094,9999,N,,熱力學(1),3.00,3.00,https://mae.ccit.ndu.edu.tw/,夏筱明,T3F34-,機航組機械班，上課地點：國防大學理工學院,Thermodynamics(1),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,18,T
1131_910417,113,1,910417,SESE20013,9999,N,,噴射推進原理,3.00,3.00,https://mae.ccit.ndu.edu.tw/,夏筱明,T1R34-,機航組航空班，上課地點：國防大學理工學院,Principles of Jet Propulsion,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,6,T
1131_910420,113,1,910420,SESE20033,9999,N,,機械設計,3.00,3.00,,林聰穎,T1R34-,機航組機械班，上課地點：國防大學理工學院,Mechanical Design,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,12,T
